# Each column indicates the mass fraction of each congener in gas or particulate phase relative to total PCDD/Fs.,,
congener,gas,particulate
"2,3,7,8-TCDD",0.001,0.0007
"1,2,3,7,8-PeCDD",0.0031,0.0039
"1,2,3,4,7,8-HxCDD",0.0028,0.0048
"1,2,3,6,7,8-HxCDD",0.0053,0.0097
"1,2,3,7,8,9-HxCDD",0.0041,0.0063
"1,2,3,4,6,7,8-HpCDD",0.0281,0.0563
OCDD,0.0826,0.1771
"2,3,7,8-TCDF",0.0066,0.0038
"1,2,3,7,8-PeCDF",0.0082,0.0093
"2,3,4,7,8-PeCDF",0.0177,0.018
"1,2,3,4,7,8-HxCDF",0.0102,0.0164
"1,2,3,6,7,8-HxCDF",0.0138,0.0218
"1,2,3,7,8,9-HxCDF",0.0014,0.0016
"2,3,4,6,7,8-HxCDF",0.035,0.0395
"1,2,3,4,6,7,8-HpCDF",0.0675,0.1094
"1,2,3,4,7,8,9-HpCDF",0.0112,0.0162
OCDF,0.0759,0.1308
