congener,particulate
"2,3,7,8-TCDD",0.800080008
"1,2,3,7,8-PeCDD",0.800080008
"1,2,3,4,7,8-HxCDD",1.249875
"1,2,3,6,7,8-HxCDD",1.249875
"1,2,3,7,8,9-HxCDD",1.249875
"1,2,3,4,6,7,8-HpCDD",1.249875
OCDD,0.800080008
"2,3,7,8-TCDF",0.800080008
"1,2,3,7,8-PeCDF",0.800080008
"2,3,4,7,8-PeCDF",1.249875
"1,2,3,4,7,8-HxCDF",0.800080008
"1,2,3,6,7,8-HxCDF",1.249875
"1,2,3,7,8,9-HxCDF",1.249875
"2,3,4,6,7,8-HxCDF",1.249875
"1,2,3,4,6,7,8-HpCDF",0.800080008
"1,2,3,4,7,8,9-HpCDF",0.800080008
OCDF,0.800080008
