"# Each column indicates the fractional removal efficiency of each congener,",
"# calculated as (initial_fraction - final_fraction) / initial_fraction,",
# where the values are the congener's fraction of total PCDD/Fs.,
congener,removal_efficiency
"2,3,7,8-TCDD",0.535513768
"1,2,3,7,8-PeCDD",0.537000031
"1,2,3,4,7,8-HxCDD",0.255923374
"1,2,3,6,7,8-HxCDD",0.21050183
"1,2,3,7,8,9-HxCDD",0.185634498
"1,2,3,4,6,7,8-HpCDD",-0.274880743
OCDD,-0.335946629
"2,3,7,8-TCDF",0.69468638
"1,2,3,7,8-PeCDF",0.596657897
"2,3,4,7,8-PeCDF",0.560356914
"1,2,3,4,7,8-HxCDF",0.380517877
"1,2,3,6,7,8-HxCDF",0.367878903
"1,2,3,7,8,9-HxCDF",0.141752471
"2,3,4,6,7,8-HxCDF",0.158242863
"1,2,3,4,6,7,8-HpCDF",-0.085213637
"1,2,3,4,7,8,9-HpCDF",-0.301623288
OCDF,-0.59772325
